ecole,addr,lycee,groupe_scolaire,institut
Ecoles    Al Madina Ghandi,"36 Bis, bd Ghandi, Rivièra",0,0,0
Ecoles    AlBayda,"hay Moulay Rachid II - ex Bournazel, rue 1 ang. rue 2",0,0,0
Ecole Socrate,"17, rue Ghdifa bent ElMadani -ex Lefèvre ",0,0,0
Ecole Supérieure de Design (Art'com Sup),"18, rue Bachir El Ibrahimi -ex Ekdal, quartier Bel Air",0,0,0
Ecole Tajani  Privé    2,"lotiss. Zahr, rue 3 n°30, lotiss. Zoubeir",0,0,0
Ecole Tanwir,"cité Sidi Bernoussi Hay Al Azhar, n°36",0,0,0
Ecole Technique d'Arts Plastiques (E.t.a.p.),"384, bd Abdallah Ibrahim ex- Al Jamia ",0,0,0
Ecole Technique  Privée    Magistyle,"257, rue des Anglais ",0,0,0
Ecole Triangle Junior,"hay El Oulfa, résid. Essourour Farah 1, Gh 04, imm. 38",0,0,0
Ecole Welcome  Privée,"hay Moulay Abdallah, rue 310 n°60",0,0,0
Ecole Yassamine Oasis,"7, rue des Papillons ",0,0,0
Ecole Yassamine Rabat,"4 Bis, rue de la Pie ",0,0,0
Ecole Yassamine Sidi Maarouf,"lotiss. Lina, rue 26 n°32",0,0,0
Ecole Younia  privée    de coiffure,avenue Akid Allam ang. Driss ElHarti lot. 11 1°ét.,0,0,0
Ecole Zouhair,"11, avenue Mohamed Bouziane ",0,0,0
Ecoles    Al Madina Ghandi,"36 Bis, bd Ghandi, Rivièra",0,0,0
Ecoles    AlBayda,"hay Moulay Rachid II - ex Bournazel, rue 1 ang. rue 2",0,0,0
Ecoles    Camelia,"208, hay Laimoune ",0,0,0
Ecoles    l'Ambassadeur,"573, bd Tah, hay Al Fath 3 Inara, Aïn Chock",0,0,0
Ecoles    Malaïka,"5, bd Ghandi ",0,0,0
Ecoles     Privées    la Tour Eiffel,"lotiss. Alhadika, résid. Chella, hay Al Walaa",0,0,0
Eidos,"5, rue Gascogne ang. bd 2 Mars les Hôpitaux",0,0,0
Complexe Scolaire Kamil  Privé,"av. Mokhtar Ben Ahmed Guernaoui, rue 40 E32",0,0,0
Cours    Harry  Prive,14 Rue Du Parc Casablanca - Maroc,0,0,0
Cours    Rameau,"3, rue Turgot, place des Iris",0,0,0
Cours    Subrini Oulfa,"18, bd Oued Abi Raqraq, Oulfa",0,0,0
Cours    Subrini Plateau,"13, rue Stephane Mallarmé, cité Plateau",0,0,0
Cours    Val d'or,"66, rue El Marrakouchi, quartier Lopez",0,0,0
Ecole Abou Taib Elmoutanabi,"hay Sadri (Bournazel) grp.4, rue 21, n°3",0,0,0
Ecole Acharaf  Privée    de Coiffure et de Beauté,"191, bd de Dakhla ",0,0,0
Ecole Achbal Ifriquia,"1, rue de Marché , Aïn Chock",0,0,0
Ecole Al Houda  Privée,"hay El Oulfa, grp. V rue 1 n°76",0,0,0
Ecole Al Jabr,"40, rue Ahmed Akrad - ex Aviateurs ",0,0,0
Ecole Al Khalifa,"bd Attadamone, Al Azhar Tr I4, rue 31 n°48",0,0,0
Ecole Al Madina Ain Sebaâ,"route de Rabat (r.p. 1), km 9 Ain Sebaâ",0,0,0
Ecole Al Madina Bellevue,"quartier Californie lot. Bellevue II, rue 3",0,0,0
Ecole Al Madina Polo,"52, avenue de Nador ",0,0,0
Ecole Al Manal,"hay Mansour III, bloc 62 n°46",0,0,0
Ecole AlAdarissa Chorrafa,"128, Lotiss. ElAdarissa , Sidi Maârouf",0,0,0
Ecole AlAhrar,"109, rue du Gharb, hay Laâyoune",0,0,0
Ecole AlAkhawayn  Privé    pour Coiffure Moderne,"33, avenue du Dix Mars, Bloc 28 Sidi Othmane",0,0,0
